userName,score,at,content
Lia Solehhudin,2,2022-12-10 13:00:45,"Makin kesini makin kecewa sama myXl, bukan cm sekali setiap selesai isi ulang pulsa mau beli paket data karena data udah mau hbs , tp selalu error. Transaksi gagal berkali2 sampai pulsa habis tersedot data , yg akhirnya harus isi pulsa lagi 😫"
agung subakti,1,2022-12-10 12:58:41,"Tolong di perbaiki lagi aplikasi nya,, tiap beli paket terlalu lama proses nya,, saya pikir udh ke beli paket nya ternyata kepotong pake pulsa biasa,, giliran proses pemotongan pulsa darurat dan informasi isi pulsa cepat proses transaksi nya.."
Yoga Haditia,1,2022-12-10 12:36:02,"Harus pakai data buka app nya, gak bisa pakai wifi.. wifi manapun gak akan bisa , keterangan nya cek koneksi internet padahal wifi kenceng kek gitu dibilang cek koneksi"
AL Budhi,1,2022-12-10 12:34:50,"Sudah isi paket data kenapa tidak dapat online,,,, memang dari dulu XL jaringan yg sangat buruk,!.. Pelayan juga kurang baik. Beebeda dengan jaringan Telkomsel, pelayanan sangat baik dan ramah. Sangat menyesal saya pakai XL.!"
Erwan Bizaega,1,2022-12-10 12:33:34,Lemotnya parahhhhhhhh. Buka aplikasi aja susahnya ampun. Beli paket di my XL juga lamaaaa banget terkonfirmasi nya. Gak mampu apa banyak pengguna🤭🤭
Alfi Zakiyyatul Maulidiyah,3,2022-12-10 12:23:25,Saya pengguna xl. Tpi app nya sangat lemot. Gampang trouble jg kdg app nya. Jdi kurang nyaman untuk memakainya. Lebih ke gbisa sabar karena lemotnya si 😭
Hanton Susila,5,2022-12-10 11:16:53,"Tolong donk perbaiki sinyal didesa. Sinyal XL tahun 2022 itu lemah banget.. tp tahun 2021 sinyal kuat.. knp ? Log in ke aplikasinya lama banget 15 menit gx bisa bisa,, kalau aplikasi Indosat cepet banget, masuk aplikasinya"
Dede Rosadi,1,2022-12-10 11:07:56,Saya sangat kecewa dengan pelayanan tiap isi ulang kuota selalu gagal dan pulsa kepotong lagi parah nya. Kenapa selalu begitu n sangat merugikan. Skrg aja blm masuk kuotanya n dh d potong Pulsa nya. Saya tunggu itikad baiknya n skrg LG proses lagi n Gagal trus n Pulsa dipotong terus.
Fitri Sensei,1,2022-12-10 10:56:40,"Sampe akrng jringnny masih ttp ga baguss ini gimana sih cuaca bagus jrignnnya laggg pas awal make bagus aja gada masalah.. lama klmaaan makin lemot,ga lancar main game,buka apapun kadang lemot bngt kecewa saya.."
Ryzer 1796,5,2022-12-10 10:31:22,Perasaan gua kaga pernah ada masalah tapi orang orang napa pada kek gitu ya ada jaringan jelek lah apk berat lah poin ga bisa di tukar lah banyak Ama masalahnya gua aja kaga pernah ngalamin yang kek gitu.jadi yang ngalamin kek gitu biasanya karena daerahnya kurang support jadi jangan salahin myxl nya aelah
TIOMETA,1,2022-12-10 08:51:53,"Kenapa sinyal nya makin kesini makin kesana, apa lagi kalau hujan dah lah hilang total ⚔️ belum lagi 1 hari kemarin ngak ada sama sekali sinyal, payah...👎🏿👎🏿 Ngak usah bilang ""buat mode terbang sesaat setelah itu kembali lagi atau restart hp"""
patra almusa,1,2022-12-10 08:31:22,"Ini aplikasi nya lagi error ya? Kok gk bisa dibuka Padahal signal bagus, main game lancar, browsing juga lancar. Tapi ga bisa dibuka aplikasi nya"
Haikal Fikri,1,2022-12-10 07:50:07,"Bisa bisanya jaringan hilang selama dua jam, aneh buat malu aja nib xl. Hari ini dari pagi sampai detik ini jaringan hilang entah kemana kecewa pada xl"
Rafin Syah Dulah,1,2022-12-10 07:49:21,"Apaan dah XL makin kesini mala makin disana, jaringan tiba"" suka lag dan bug yang ga wajar kadang sampai 2 hari gaada jaringan hadeh kalau gini terus mah mendingan gue pindah ke lain, udah gue restart hp gue dan matiin daya, mode pesawat, tetap aja gaada jaringan, ⭐"
Neng Triyantie,2,2022-12-10 06:37:49,"Buat myXL tolong deh ya Kuota data ku masih banyak,, masih ada 3 giga bite lebih,, masa dibilang habis,, tolong ngasih informasi yang benar jangan salah"
Ana Haryati,1,2022-12-10 06:32:18,Saya mohon ditingkatkan lagi kekuatan jaringannya.. masa iya.. saya main game.. jaringan langsung buruk.. bar 4 sinyal merah.. saya coba buka aplikasi lain loading terus.. kadang bagus banget.. tp kalau udah jelek.. behh bikin emosi.. kalau sampai begini terus pindah ke provider lain.. padahal saya berada di kota buka di pelosok desa.. lokasi di Bandung Baleendah tapi sinyal buruk banget.. terutama saat bermain game.. sering ilang sendiri jaringannya.. klo masalah hp.. hp saya Tecno pova 4..
Arif Utama,1,2022-12-10 05:24:45,"pulsa kepotong padahal pake wifi, gk masuk akal, beli paket promo juga gk bisa, gk ngerti lagi dah sama xl"
XXX 000,1,2022-12-10 04:28:52,Pagi ini beli paket akrab tetapi anggota yang didaftarkan justru tidak mendapatkan kuota internet. Ini kali ke-2 myXL bermasalah dan penyelasaian SANGAT LAMBAN! Layanan keluhan juga tidak membantu.
Saut Sinurat,1,2022-12-10 01:51:34,"Aplikasi nya tambah hancur dan jelek kaliiiii,,,masa dibuka bsa tiba2 keluar sendri trus dihpus bru instal ulang msh j penyakit nya kyak gtu pdhal jaringan nya bagus nya,,,, gk bsa apa diperbarui lg pelayanan aplikasi nya tu???"
Rizky Aja,1,2022-12-10 01:25:03,"Nama aplikasi nya tiba"" berubah menjadi feature_refferal,jaringan yang suka lemot apalagi kalo hujan,masuk aplikasi sering force close. XL sekarang sudah lemot jadi pengen pindah ke jaringan lainkalo terus begini"
Twin Tri Wahyudi,2,2022-12-10 00:09:17,"Makin kesini XL makin gak karuan, 2x paket internet sy tidak diperpanjang otomatis, padahal pulsa sudah isi, notifikasi sms perpanjangan jg dikirim. Paket yg sy beli sebelumnya padahal yg bs akumulasi kuota tp ujung2nya tidak diperpanjang otomatis. Chat via Maya respon lambat dan tidak ada penyelesaian"
Anita Rahayu,1,2022-12-09 23:15:22,"Ini xl error atau gimana??? Saya mendaftar paket akrab, sebelumnya ada 2 anggota paket akrab yg suda terdaftar, namun 2 anggota tersebut mendapatkan notifikasi jika suda keluar dari anggota paket akrab, namun 2 anggota tersebut masih ada di list anggota paket akrab saya , saya mau mengaktikan kembali 2 anggota tersebut namun dari kemaren error muncul notifikasi gangguan terus ketika mau edit batas kuota 2 anggota tersebut, menghubungu live agent pun cuma masuk antrian tanpa solusi 👎👎👎👎"
Heri Boncos,5,2022-12-09 23:04:07,"Kuota paket saya masih banyak tapi tidak bisa di gunakan baru 1 hari di sini masa sdh tidak bisa di gunakan lagi,ini gangguan apa cara xl'nya yg kurang bagus"
citizen11_,3,2022-12-09 22:31:19,Kouta malamnya emang gk diaktifkan lagi ya? Udah coba beberapa kali tapi selalu gk bisa kebuka. Kalo yang lain selain kuota malam bisa dibuka dan lancar2 aja
Masha Tok,1,2022-12-09 18:32:08,"Untuk pihak xl, kenapa ya kuota aktivasi XC flex s tidak bisa di gunakan dan kuota tidak berkurang sedikitpun. Ketentuannya kan ketika ada paket kuota utama, padahal kuota utama sampe abis juga itu kuota aktivasi XC flex s tetap tidak bisa di gunakan. Live chat yg ada ngmng sma bot."
Maulana Yusup,1,2022-12-09 16:38:23,"Semenjak pake XL udah 2 tahun, pelayanan XL buruk banget, masih gw aktipin karena terlanjur nomernya di pake buat akun - akun penting. Bukan sekedar sinyalnya yang gak jelas, bahkan sering banget ngerugiin pelanggan, transaksi yang sering bemasalah beli pulsa/ paket notifikasinya berhasil tapi di cek *123 ;pulsa/paketnya gak ada. Aplikasi my XL cuma bikin rusak sistem android hp saya, bugnya, iklannya juga super parah ngeganggu banget. Call center susah di hubungi nya kita cuma di layani mesin"
riziq ziq,1,2022-12-09 16:11:57,"Aplikasi beban, baru beli paketan kok jaringan tidak tersedia. Terus sering update juga. Mohon di perbaiki."
Izaki,1,2022-12-09 15:58:17,"Buka aplikasinya berat, harus sinyal bagus tapi sinyal XL di musim penghujan selalu buruk, apalagi jika listrik mati, sinyalpun ikut hilang.. sudah lapor keluhan di via email dan ditanggapi (Maya), tpi kinerja (Maya) kurang efisien,, mohon diperbaiki jaringan dimusim penghujan dulu baru aplikasi pendukungnya."
Konten receh Aja,2,2022-12-09 15:58:10,Tolong donk perbaiki jaringan nya. Masak di kota jaringan nya. Ngak bisa di andalkan untuk main game lemot. Kalah sama indosat masalah jaringan. Maaf saya turunin bintang nya. Soalnya kecewa banget
RESTU SYAHRIVA,1,2022-12-09 15:46:29,"Uninstall aja pindah kartu sebelah, XL makin kesini makin low sinyal di daerah gua.. Dulu padahal bagus bgt ntah kenapa skrg low sinyal, apk nya juga klo mau aktifin voucher lama bgtttt harus nunggu 4x scan baru bisa, gua sebagai pengguna XL 4thn memutusukan pindah kartu aja. Bye XL"
Imas Ayuning (Nink),2,2022-12-09 15:38:24,Gila banget sumpah XL sekarang mahal banged paketannya. Mana cepet banget masa tenggang. Masa provider besar gini banget.. iya kalo di segala penjuru sinyalnya ada. Orang mati listrik juga sinyal hilang. Gini udah terlanjur pakai nomer xl 5 tahun lebih. Mau ganti perdana juga imbasnya repot hadeh
bang khil,1,2022-12-09 14:26:10,"Sinyal eror sering hilang gak jelas operator, hanya di suruh sabar saat komplain sama cs, gak kaya XL dulu yang terkenal dengan kecepatan nya. Sekarang leletnya minta ampun. Kalau gak ada perbaikan mungkin ganti operator lain"
Arief Tio,4,2022-12-09 14:09:02,"Padah udah di update kenapa saya masih belum dapet bonus pembelian vouchernya,saya udah hubungin Maya tapi gak ada jawaban gimana sih katanya updatenya memperbaiki bug atau apalah tapi tetep aja sama kayak sebelum update. GAK USAH DI UPDATE SEKALIAN"
ARYA AKBAR,1,2022-12-09 13:31:48,Maya akhir2 ini sinyal sangat jelek Dan tidak lancar terutama pas main game padahal sinyal saya bagus tapi kenapa lemot banget ya?saya udah pake APN saya juga mencoba merestart HP dan mode pesawat namun sinyal masih jelek juga. Pas main game Ama lainnya tolong jaringannya perbaiki lagi.
Dhea Aprilia,1,2022-12-09 13:24:58,"Ada kuota tiktok tapi ga bisa dipake malah pake kuota utama Trs kenapa kalo beli kuota lagi kuota lama malah hangus? Kan seharusnya nmbh, kalo gini bikin customer rugi aja"
Noto Susiswanto,1,2022-12-09 12:20:14,"Setelah di update malah ngga bisa dibuka sama sekali di hp samsung a72 loading terus tidak masuk ke menu, udah dicoba di unistal ulang masih sama tidak bisa dibuka, hp dicoba dimatikan dihidupakn kembali masih sama tidak bisa dibuka!!! Makin ngga jelas aja ni aplikasi my xl!!!"
YogiBae,1,2022-12-09 12:15:39,"Halo myxl, saya baru-baru ini update kok aplikasi nya banyak bug ya?, Pas saya buka sering terjadi kesalahan, nah akhirnya saya restart hp saya, pas buka aplikasi nya lagi kok masih eror, ini saya sudah bicara baik-baik ya myXl, seringkali update bukanya jadi bagus, malah sering terdapat bug, aplikasi myxl yang dulu gak kayal gini deh, tolong di perbaiki secepatnya MyXl."
rizal Siahaan,1,2022-12-09 11:53:25,Jaringan Xl jelek banget putus2 lemot kayak bangke makin lama makin parah..... Perbaiki donk tingkatkan kualitas jaringan.saya beli paket di aplikasi tapi kok yang masuk beda(gak sesuai) tolong donk penjelasanya.trimks
Broow Ghimenk,1,2022-12-09 10:59:20,Aplikasinya eror.. mau masukin nomor anggota paket akrab.. bilang sudah berhasil.. tapi nyatanya gak verivikasi via sms!! Ada cara lain gak kalo kayak gini kan kuota bonusnya kan gak bisa di pakek
Devan Satya Fauzi,2,2022-12-09 10:52:09,"Tidak bisa login setelah di update, jaringan nya sering pending/error, 4G LTE kadang bisa kadang kagak"
ahmad mundakir,1,2022-12-09 10:13:04,"hadeh.. XL payah saya beli kota di myXL mengunakan pulsa dan udah bisa beli kota 20GB 30hari tapi baru di pake 5GB udah habis aja, itu yang sisanya ke mana.? baru sehari pake 5 gb buat instal game masa udah ada sms sisa kuota di bawah 1GB heran saya... kalo gini gw rugi udah beli pulsa 25.000 tapi malah hilang gitu aja bahkan download belum selesai. XL payah gw yakin udah nulis panjang gini gak bakal di baca. XL AXIATA, Cukup...."
Yusri Ramadan,1,2022-12-09 09:40:50,Aplikasinya lambat.... CS nya lama... Nungguin dari malam sampai ketemu malam lagi belum terselesaikan problemnya karena lama dibalasnya
Amelia Putri,4,2022-12-09 08:16:08,"Kenapa my XL sekarang lemot , gk kek dulu cepat tanpa loading, terus kalau udh isi paketan ada bonusnya tpi Sekarang kagak ada , terus buat main game sering ilang jaringannya jdi agak kecewa 😔"
Iswandi Iis,1,2022-12-09 07:13:25,"Layanan live chat sangat buruk mau komplen sja harus mengulang pertanyaan berkali"". Trus apk nya jga kok gitu fitur rewardnya dari semenjak gue downlod sdah 4 bulan sampai skrang blum naik ke silver masih ngestak di blue pdahal gue sdah transaksi melibihi ketentuan naik levelnya. Trus ngga ad solusi udah komplen disruh nunggu 2x24 jam tpi sampai waktu tersebut ngga beruh fiturnya udah update apk berkali"" Lagi"
Syafira Fira,5,2022-12-09 07:07:00,Dengan menggunakan aplikasi ini saya dapat mengecek kouta dengan mudah dan juga saya bisa dengan mudah memasuk kan kouta dengan cara di scen Terima kasih XL
Rama Arindiva,1,2022-12-09 05:55:53,Ini gimana ya saya barusan beli paketan bayar dengan shoppe pay dan berhasil tapi paketan sampai detik ini nggak masuk gimana solusinya gimana ini mohon di atasi dengan cepat jangan kayak gini
Intan Nurjannah,3,2022-12-09 05:07:03,"ini aplikasi harus sinyal sebagus apa ya? tiap2 mau beli kuota tidak ada koneksi, jelas jelas jaringan 4G full. ngelebihin sinyal buka IG, YT, main ML ampun please perbaiki lah malah kesel sendiri"
iMand Bae,1,2022-12-09 05:05:12,Kirain abis update bakal ringan. Ternyata ampas.. tower xl disini gak lebih dari 100m. Tapi aplikasi masih lemot. Ngelag. Siapa sih yg buat aplikasinya? Aplikasi ampas!!
Iky Siarabian,1,2022-12-09 05:03:08,"Streming jadi lelet banget kalo pakek xl..mana kalo kirim sms g bisa kekirim.. harga paketnya mahal..hadehh..maklum sih,dari semua provider g jelas semua"
Hardiansyah Achmad,2,2022-12-09 04:07:55,Saya mengisi pulsa sebesar Rp5000 kemarin dan saya membeli kuota game Free Fire 2GB seharga Rp2500. Tetapi saat saya ingin bermain Free Fire malah tidak bisa digunakan dan ketika saya menggunakan kuota tersebut untuk bermain Mobile Legend:Bang Bang malah bisa digunakan. Tolong perbaiki masalah ini dan jika tetap tidak bisa maka saya meminta pulsa saya kembali🙏🏻
Cim Aja,1,2022-12-09 03:08:35,"Masalah belum selesai tapi Maya sudah mengakhiri chat. Paket data terpotong padahal baru dibeli. Kalau jaringan sedang lambat yang muncul justru ""silahkan cek koneksi anda"". Justru perbaiki koneksi ANDA lah"
Nursyifa Fauziyah P. F,2,2022-12-09 03:01:01,"Aplikasi besar tapi sering eror, harus refresh beberapa x, beli paket sering gagal. Akhirnya pulsa habis hanya untuk buka tutup aplikasi.."
agung purnama banyu,1,2022-12-09 01:32:56,"Saya beli paket unlimited turbo, syarat terpakainya harus kuota utama habis terlebih dahulu. Tapi setelah kuota utama habis, jaringan malah jadi lelet, seolah olah paketnya tidak bisa di pake, hanya wa saja yang bisa, ig yt fb yang tertera di paketnya malah engga bisa di pake.. Gimana nih paketnya ko kaya gino"
Dedi Suhendi,1,2022-12-09 00:41:30,"Aplikasi xl ga bisa di buak"" mau ngeliat paket internet juga ga bisa, jadi manfaat nya apa downlod aplikasi xl kalaw pas di buka muter muter terus"
Amat O,2,2022-12-08 20:54:19,"Jaringan y kok susah y ,, di hp lain bagus ,, TPI ko di hp saya parah ,, padahal udh di isi paket ,, sekali saya tes jaringan y memang bagus ,, TPI kosong kayak GK ada paket y ,, mohon bantuannya ya"
Reski Amalia,1,2022-12-08 18:15:03,"apk nya lemot parah ketika baru mau masuk ehh malah keluar mulu' dari updatetan pertama apknya gini mulu ga ada perubahan trus harga kuotanya makin lama maki mahal padahal apk nya lemot parahhhh gimana nihh kalau kayak gini,trus apk nya juga biasanya lag2 gitu padahal jaringannya bagus bangt ini bug atau apa sih tolong di perbaikiiiii"
Mustofa Mawar,5,2022-12-08 16:42:41,"Saya minta maaf apabila ada kesalahan kata kemarin, dikarenakan saat pengecekan pulsa di pengetikan gangguan terus, dan didalam aplikasi pun sama kendalanya semua rata sama ada di bagian pengerroran dibagian login maupun disaat masuk. Mohon dimaafkan dan segera ditindak ya"
Mamang Gaming,2,2022-12-08 16:35:42,"Lama-lama makin aneh nih XL aku pengguna lama XL baru kali ini ngerasa gak nyaman, 1 lagi habisnya ga normal kek kartu 3 jaman dulu pas lagi murah2nya, Kouta habisnya ga wajar, padahal pemakaian ga begitu banyak, kecewa banget si #boikot XL 🤣"
Vyy tngrang,1,2022-12-08 15:38:53,"Gak jelasss...saya beli paket sebulan 71 rb kaga masuk..mana perlu mendadak ini, udah di bayar juga pake shopee pay malah kaga masuk paket nya..ini lama lama kaga bagus ni xl ah kesel saya...mau ganti aja ke yg lain makasihhhhhh !!!!!!!!!!"
Zein Ave,1,2022-12-08 14:48:57,"Sudah lebih dari seminggu, berulang kali mencoba untuk login selalu gagal. Berulangkali apk saya uninstal lalu instal ulang masih saja gagal terus."
DMifa,1,2022-12-08 14:44:03,"Aplikasi bobrok banyak error nya Bermasalah Mulu Pakai WiFi signal full tp di bilang tidak ada jaringan Beli paket internet tinggal bayar tp bermasalah, katanya bakal di diperbaiki, di tunggu seharian tetep aja ga bisa Niat kaga sih bikin aplikasi? Nyusahin org aja"
Rahmawati Dysti,4,2022-12-08 14:40:04,"udah bagus... tp perbaiki lg sinyalnya... apalagi saat mendung dan hujan.. sinyal XL sering kacau, kadang ga ada sinyal sama sekali"
miftahul rohmah,1,2022-12-08 13:22:39,"Ah dulu udah bagus sekarag jadi makin jelek, jqringan bar hilang sama sekali sudah konsultasi lewat live chat tapi sampai sekarang jaringan belum bagus dari 2 desember sampai sekarang jaringan bar kosong kirim.pesan whatsap aja pending padahal udah beli paket akrab mahal mahal jadi kaya kebuang sia sia gabisa di pake"
Ike Megawati,4,2022-12-08 13:19:11,"pilihan paket data gak lengkap. ada bberapa paket yg tercantum di ecommerce, tp malah gak ada di myXL. harus nya app pusat lebih lengkap dong pilihan paket internet yg di jual nya."
Siti Barokah,1,2022-12-08 13:18:55,"Setalah di update, Bonus isi pulsa saya tidak masuk terus,pdahal di pemberitahuan sms nya,""silahkan ambil bonus isi pulsa anda"",pas cek di apk my xl malah gak ada lucu, tolong dong perbaiki lagi apk nya."
Resa Echa,2,2022-12-08 13:12:29,"Sering loading, dan kadang eror. Ada fitur live chat tapi tidak terlalu membantu responnya kurang dan berbelit belit tetep aja klo mau jelas ya nlp ke operator . semoga bisa di tingkatkan lagi"
Milatul Jamilah,1,2022-12-08 12:58:56,"Saya kecewa, di aplikasi my XL paket saya masih banyak. Tiba-tiba pulsa saya ditarik otomatis menjadi 0 rupiah. Sinyal XL sekarang juga tambah lemot."
Lysio,1,2022-12-08 12:17:37,"Ada apa dengan live chat kalian? Buruk sekali tidak real time sehingga chat agen tidak bisa masuk jika saya tidak load ulang dan berakhir saya yang berganti-ganti agen. Tolong diperbaiki. Update terus tapi live chat masih bgini begini saja, apa yang kalian perbaiki? Perbaiki masalah jangan nambah layanan dan jadi tambah masalah"
